all_participants_list
& Ireland General Insurance
(UK) Limted
Silvy Wright
Simon Burke
Simon Gadd
Simon George Thomas
Simon Machell
Simon Pearson
Simon Pistell
Simon Thomas
Siobhan Geraldine Boylan
Solmaz Altin
Sonya Bryson
Specialty Insurance
Spencer Horgan
Spencer Lee Horgan
Staﬀan Hansen
Stefan Heitmann
Stefan Loacker
Steffen Heegaard
Stella Li
Stephane Dedeyan
Stephane Le Mer
Stephane Trarieux
Stephanie Bush
Stephen Gazard
Stephen Lowe
Steve Binioris
Steve Bridger
Steve Gazard
Steve M. Hatch
Steve Markel
Steve Wilson
Steven Georges Leon Braekeveldt
Steven Levin
Steven Maddock
Steﬀen Heegaard
Steﬀen Peter Anker Heegaard
Storebrand
Strategy
Stuart Beamish
Stuart Davies
Stuart James Turner
Stuart Jeffrey Davies
Stuart Michael Howard
Stuart Morgan
Stéphane Le Mer
Susan McInnes
Susan Spivak
Susan Spivak Bernstein
Susanne Tengler
Sven Althoff
Sydney Mbhele
Sylvain Perrier
Symon Drake-Brockman
Séverine Laine
Tadaharu Uehara
Tadashi Handa
Taizou Ishiguro
Takaaki Tamai
Takashi Kurumisawa
Takashi Sato
Takayuki Yuasa
Tatsuru Aoki
Taylor Robinson
Tetsuji Higuchi
Thabane Vincent Maphai
Theresa Froehlich
Thierry Leger
Thomas Allen Bolt
Thomas Behar
Thomas Bohun
Thomas Bradley
Thomas Buberl
Thomas Béhar
Thomas D. Stoddard
Thomas Dawson Stoddard
Thomas Gayner
Thomas Holzheu
Thomas John Diemer
Thomas Kunkel
Thomas M. Kunkel
Thomas Neusiedler
Thomas S. Gayner
Thomas Sinnickson Gayner
Thomas Stoddard
Tidjane Thiam
Tim Breedon
Tim Coulson
Tim Harris
Tim Ryan
Tim Stedman
Tim Tookey
Tim Youmans
Timothy Alan Boroughs
Timothy Boroughs
Timothy Fabrice Ryan
Timothy James William Tookey
Timothy Ryan
Tiziano Ceccarani
Tjeerd Bosklopper
Tobias van der Meer
Toby van de Meer
Toby van der Meer
Todd Adams
Todd Solash
Tokuda Hajime
Tom Bolt
Tom Cross Brown
Tom Gayner
Tom Solomon
Tom Stoddard
Tom de Swaan
Tomas Alfaro
Tony Jackson
Tony Wilkey
Tor Loennum
Tor Lonnum
Tor Magne Lonnum
Tor Magne Lønnum
Torbjoern Magnusson
Torbjorn Magnusson
Torbjörn Magnusson
Torsten Jeworrek
Toshifumi Kitazawa
Tracie Grella
Tracy Benguigui
Tracy Dolin-Benguigui
Treasurer
Trevor Fetter
Trevor Matthews
Trevor Webb
Trond Eriksen
Trond Finn Eriksen
Tryg Forsikring A/S
Tsuyoshi Hattori
Tsuyoshi Nagano
UK & Ireland General Insurance
Ulrich Wallin
Ulrik Andersson
Underwriting Risk Committee
Unidentified Company Representative
Unidentified Participant
Unidentified Speaker
Unidentiﬁed Company Representative
Unidentiﬁed Speaker
Unit
Unverified Participant
Unveriﬁed Participant
V. Prem Watsa
Veerle Verbessem
Vibhu Sharma
Victor Peignet
Victor Yves Peignet
Victoria Hayes
Vincent Armentano
Vincent Damas
Vincent Foucart
Vincent Letac
Vivian Prem Watsa
Volker Steck
Véronique Weill
Wadham Downing
Walter Scott
Warren Buffett
Warren E. Buffett
Warren Edward Buffett
Wendy Houser
Wes Erlam
Whitney Richard Tilson
Whitney Tilson
Wikus Olivier
Wilfred Frederik Nagel
Wilkus Oliver
Willem Horstmann
Willem van den Berg
William C. Wagner
William Green
William H. Heyman
William Herbert Heyman
William L. A. Connelly
William L. Connelly
William Marston Becker
William Nicoll
William R. Babcock
William Spiegel
Wim Hekstra
Wolfgang Hauner
Xavier Larnaudie-Eiffel
Xavier Larnaudie-Eiﬀel
Xavier Veyry
Yaron Kinar
Yasunobu Fukuda
Yasuyoshi Karasawa
Yegs Ramiah
Yoshinari Endo
Yukinori Kuroda
Yuta Tachizako
Yvonne van Rooij
and Chief Executive of M&G
and Executive Officer
and International
and Partnerships
of Enterprise Business Intellige
of Enterprise Business Intelligence & Analytics
of Management Board
of Strategy
of the Everest Insurance Division
of the Management Board
the Everest Insurance Division
the Executive Board
the Management Board of Aegon N.V.
the Reinsurance Division
•
• David Bonham
• Dieter Wemmer
• Evan G. Greenberg
• Helen Wilson
• Oliver Schmidt
• Philip V. Bancroft
• Prem Watsa
• Sean Ringsted
• V. Prem Watsa
• Vivian Prem Watsa
Aaron Lanni
Abid Hussain
Abilash P T
Abilash P.T.
Adam Brett Bergman
Adam Culver
Adam Forsted
Adam Klauber
Adam McNestrie
Adam Mead
Adam Starr
Adam Uddin
Adrienne Lim
Akhil Mittal
Akhona Matshoba
Alan Devlin
Alan G. Devlin
Alan Parsow
Albert Ploegh
Albert S. Copersino
Alberto Cordara
Alberto Villa
Alex Blostein
Alex Evans
Alex Medhurst
Alex Scott
Alexander Chau
Alexander Evans
Alexander Huebner
Alison Jacobowitz
Amit Kamar
Amit Kumar
Amit Singh
Analyst
Anasuya Iyer
Andre Hardy
Andrea Lisi
Andreas E. Van Embden
Andreas Evert Cornelis de Groot van Embden
Andreas Evert Cornelis van Embden
Andreas Fernando
Andreas Frick
Andreas Schaefer
Andreas Schafer
Andreas SchÃ¤fer
Andreas Schäfer
Andreas Van Embden
Andreas de Groot van Embden
Andreas de Grrot van Embden
Andreas van Embden
Andrei Stadnik
Andrew Adams
Andrew Baker
Andrew Bell
Andrew Broadfield
Andrew Broadﬁeld
Andrew Buncombe
Andrew Cannon
Andrew Hollingworth
Andrew Hughes
Andrew J. Crean
Andrew J. Ritchie
Andrew J. Sinclair
Andrew James Ritchie
Andrew John Crean
Andrew Kearnan
Andrew Kligerman
Andrew Molloy
Andrew Paul Hofer
Andrew Richie
Andrew Ritchi
Andrew Ritchie
Andrew Sinclair
Andrius Budnikas
Andy Broadfield
Andy Broadﬁeld
Andy D. Broadfield
Andy D. Broadﬁeld
Andy Hughes
Andy Sinclair
Angel Kansagra
Angel Parasotam Kansagra
Angela Gu
Anke Reingen
Ann Crotty
Anna Adamo
Anna Hui
Anna Maria Benassi
Anne-Chantal Risold
Anthony Araujo Da-Costa
Anthony Penel
Anthony To
Anthony Young
Antony Wang
Arash Soleimani
Arash Yazdani
Archeeta Pujari
Archie van Riemsdijk
Arjan Van Veen
Arjan van Veen
Armand Kersten
Arnaud Giblat
Art Invenvi
Arte Charpentier
Arthur Charpentier
Arthur van Riemsdyk
Arun N. Kumar
Asanda Notshe
Asbjorn Mark
Asbjorn Mork
Asbjorn Morks
Asbjorn Nicholas Mork
AsbjÃ¸rn Nicholas MÃ¸rk
Asbjørn Nicholas Mørk
Ashik Mussadi
Ashish Patel
Ashley Dalziell
Asim Imran
Atanasio Pantarrotas
Avinash Goel
Avinash Singh
Azuma Ohno
Azzurra Guelfi
Azzurra Guelﬁ
Barbara Schurer
Barrie Cornes
Barrie J. Cornes
Barrie James Cornes
Bart Horsten
Bart Jooris
Becky Quick
Behrin Naidoo
Ben Bathurst
Ben Cohen
Ben Dyson
Ben E. Bathurst
Ben Thomas
Ben Williams
Bengt Kirkøen
Benjamin Bathurst
Benjamin Cohen
Benjamin Edward Bathurst
Benoit Petrarque
Benoit Valleaux
Benoît Pétrarque
Beth Malone
Bijan Moazami
Bill Cooper
Bill Hawkins
Bill Moyer
Binoy Jariwala
Blaine Marder
Blair Stewart
Blair Stuart
Blair T. Stewart
Blair Thomson Stewart
Bob Farnam
Bob Glasspiegel
Bobby Hicks
Brad Le Mesurier
Brenna Phelan
Brett Le Mesurier
Brian Burns
Brian Mushonga
Brian R. Meredith
Brian Robert Meredith
Bruno Paulson
Bryan Blair
Bryan Brown
C. Gregory Peters
Callum Tanner
Cameron Husain
Cameron Hussein
Carin Smith
Carol J. Loomis
Carol Loomis
Casey Alexander
Catrin Shi
Chad Stogel
Charles
Charles Anthony Bryan Cartledge
Charles Eden
Charles Gold
Charles Gregory Peters
Charles J. Sebaski
Charles Joseph Sebaski
Charles Peters
Charles Sebaski
Charlie Beeching
Chris D. Hitchings
Chris Giovanni
Chris Hitchings
Chris J. Roberts
Chris Lafayette
Chris Pearson
Chris van Alem
Christian Hede
Christian Schnell
Christina Broker
Christoffer Adams
Christopher Gable
Christopher Hitchings
Christopher Martin
Christoﬀer Adams
Claudia Gaspari
Claus Gron Therp
Claus Hojmark Jensen
Claus Jensen
Cliff Gallant
Cliff H. Gallant
Clifford Gallant
Clinic
Colin Kelly
Colm Kelly
Conrad Scheurkogel
Cor Kluis
Craig Bourke
Cristian Campos
Crystal Lu
Dan Farrell
Daniel A. Do-Thoi
Daniel Anh Khoi Do-Thoi
Daniel Baldini
Daniel Bischof
Daniel Chan
Daniel D. Farrell
Daniel Do-Thoi
Daniel H. Baldini
Daniel Kloud
Daniel P. Toohey
Daniel Thomas Samuel Cowan
Daniel Toohey
Daphne
Daria Asadullaeva
Darius Satkauskas
Darius Zekauskas
Darshan Mistry
Daryl Goh
Daval Garda
David A. Bracewell
David Andrew Bracewell
David Andrews
David Andrich
David Andridge
David Baker
David Barma
David Bracewell
David Danilowitz
David Ellis
David Humphreys
David J. Humphreys
David Kenneth Motemaden
David L. McCann
David Lock
David M.
David M. West
David McCann
David McKinley West
David Mccann
David Motemaden
David Spotswood
David T. Andrich
David West
David White
Deepinder Bhatia
Derald Goh
Derek Han
Dhruv Gahlaut
Dieter Hein
Dom O'Mahony
Domenico Santoro
Dominic Alexander O'Mahony
Dominic O'Mahony
Dominic O’Mahony
Doug Kass
Doug Mewhirter
Doug Young
Douglas Eden
Douglas Ernest Ott
Douglas T. Eden
Drew Gallant
Drew Wilson
Eamonn Flanagan
Eamonn M. Flanagan
Ebrahim Saeed
Ed Gunby
Ed Houghton
Ed Morris
Edina Rozinka
Edward Houghton
Edward L. Houghton
Edward Summer
Edward Williams
Elena Perini
Elyse B. Greenspan
Elyse Beth Greenspan
Elyse Greenspan
Emanuele Borghetti
Emanuele Musio
Emmanuel
Emmanuel Musil
Enrico Bolzoni
Eric Bass
Eric Fraser
Erik Bass
Erik James Bass
Errol Keyner
Fabrizio Bernardi
Fabrizio Cattaneo
Fabrizio Croce
Fahad Changazi
Fahad U. Changazi
Faizan Ahmed Lakhani
Faizan Lakhani
Farooq Hanif
Farquhar C. Murray
Farquhar Charles Murray
Farquhar Murray
Federico Braga
Federico Salerno
Filippo Prini
Francesco Seok yoon Yeo
Francisco Riquel
Francois Boissin
Francois Boisson
Francois Du Toit
Francois du Toit
Frank Cawood
Frank Copling
Frank Haywood
Frank Koffinger
Frank Kopﬁnger
Franz Rodker
François Boissin
Frederico Salerno
Frederique Sleiffer
Freya Kong
Fulin Liang
Futoshi Sasaki
Gary Kent Ransom
Gary Ransom
Geoff Dunn
Geoff Kwan
Geoffrey Dunn
Geoffrey Kwan
Geoffrey Murray Dunn
Georg Marti
George Smith
Geoﬀ Kwan
Geoﬀrey Kwan
Gerald Fine
Geraldine Bakker-Grier
Gian Luca Ferrari
Gianluca Ferrari
Gianmarco Bonacina
Gianmarco Bonacinam
Giovanni Razzoli
Giulia Raﬀo
Giuseppe Mapelli
Glenn Tongue
Gower Ramesh
Greg Locraft
Greg Mason
Greg Patterson
Greg Peters
Greg Simpson
Greg Warren
Greg Wood
Gregg Warren
Greggory Warren
Gregory Locraft
Gregory Peters
Gregory Simpson
Greig N Paterson
Greig N. Paterson
Greig Norman Paterson
Greig Patterson
Grieg Paterson
Guilhem Horvath
Guillaume Horvath
Gurjit Kambo
Gurjit S. Kambo
Guy Selmar Spier
Hadley Cohen
Hakon Astrup
Hakon Fure
Hakon Fure Reistad
Hakon Hansen
Hakon Reistad Fure
Haley Tam
Hanna Barry
Hans Pluijgers
Harry Fong
Haykon Astrup
Heather Takahashi
Hector Xu
Henry Heathfield
Henry Heathﬁeld
Hideyasu Ban
Holly Froum
Howard Flinker
Howard Flinter
Howard Plinker
Howard Slinker
Humphrey Lee
Håkon Astrup
Håkon R. Fure
Iain Pearce
Ian Baines
Ian Cruichanks
Ian Cruickshanks
Ian Graves
Ian Gutterman
Ian J. Gutterman
Ian Pearce
Ida Gjosund
Ida Melvold Gjosund
Ida Melvold Gjøsund
In-Yong Hwang
In-Young Chung
Insurance Analyst
Iris Wang
Ivan Bokhmat
J. Paul Newsome
Jack Grant
Jack Sherck
Jackie Cavanaugh
Jacob Brink
Jacob Pedersen
Jaeme Gloyn
Jakob Brink
James A. Shuck
James Austin Shuck
James Coghill
James Fendlay
James Garner
James Glover
James Naklicki
James Pearce
James Pearse
James Pierce
James R Oram
James R. Oram
James Shuck
James Terry Davis
Jamie Gloyn
Jamie Inglis
Jamminder Bhullar
Jamminder Singh Bhullar
Jan Erik
Jan Erik Gjerland
Jan Gjerland
Jan Willem Knoll
Jan Wolter
Jan van der Schalk
Janet C. van den Berg
Janet Demir
Janet Van den Berg
Jason Chen
Jason Kalamboussis
Jason Lebel
Javier Bernat
Javier Bernat Valenzuela
Javier Echanove
Jay Adam Cohen
Jay Arman Cohen
Jay Cohen
Jay Cowhen
Jay Gelb
Jay H. Gelb
Jean-Claude Pauly
Jean-Philippe Lacour
Jeff Fenwick
Jeff M. Fenwick
Jeff Schmidt
Jeff Schmitt
Jeffrey Cho
Jeffrey Fenwick
Jeffrey M. Fenwick
Jeffrey Michael Fenwick
Jeffrey Schmitt
Jeffrey Schuman
Jeffrey Stacey
Jens Ehrenberg
Jerry Fine
Jeﬀ Fenwick
Jeﬀ Higgins
Jimmy Bhullar
Jimmy Fan
Jimmy S. Bhullar
Jimmy Shan
Jimmy-Yu Fan
Joanna Parsons
Joanna T. Parsons
Joanna Tamar Parsons
Joanne Smith
Jochen Schmitt
Joe de Carlo
Joel Gross
Johan Strom
Johan Ström
Johannes J. Reich
John A. Borgars
John A. Heagerty
John Aiken
John Anthony Leslie Borgars
John Barnidge
John C. Aiken
John Charles Robert Aiken
John D. Fox
John D. Irwin
John Denham
John Dillon
John Fox
John Hall
John Heagerty
John Hocking
John M. Nadel
John Nadel
John Neff
John Norwood
John O'Brien
John Thomas
John Urwin
Johnny Urwin
Johnny Vo
Johny Lambridis
Jon Denham
Jon M. Hocking
Jon Paul Newsome
Jonathan Aaron Chin
Jonathan Brandt
Jonathan Denham
Jonathan Gould
Jonathan Hocking
Jonathan Irwin
Jonathan Lawrence Brandt
Jonathan Michael Hocking
Jonathan Peter Phillip Urwin
Jonathan Urwin
Jonny Irwin
Jonny Peter Urwin
Jonny Urwin
Joseph Devitt
Josh C. Stirling
Josh Clayton Stirling
Josh D. Shanker
Josh Shanker
Joshua D. Shanker
Joshua David Shanker
Joy Ferneyhough
Joyce Yong
Juan Canovas
Juan Cánovas
Julian Wellesley
Julien Marion
Jun Shiota
Junior Ra
Junior Ross
Kai Aknin
Kai Pan
Kai Penn
Kailash Mistri
Kailash Mistry
Kailesh D. Mistry
Kailesh Mistry
Kamran Hossain
Karl Morris
Kathryn Anne Fear
Katsunori Tanaka
Kazuharu Miura
Kazuki Watanabe
Keith Cornelius
Ken Billingsley
Ken G. Billingsley
Kenneth Lee
Kent Choi
Kevin Alloway
Kevin Brenner
Kevin Harding
Kevin Ryan
Kevin Shields
Kieran Chidgey
Kieren Chidgey
Kim Bergoe
Kim Bergøe
Kim Shapiro
Kimmo Rama
Kirin Singh
Kleven Sava
Koichi Niwa
Koki Sato
Kouichi Niwa
Lain Pearce
Lance Burbidge
Lance M. Burbidge
Lance Montague Burbidge
Larissa Van Deventer
Larissa Van-Deventer
Larissa van Deventer
Larry Greenberg
Lars Ulrik Bonde
Laurent ThÃ©venin
Lawrence Cunningham
Lawrence Greenberg
Lemar Persaud
Lena Thakkar
Leopold Bian
Li Dunlop
Lionel Garnier
Louise Miles
Louise S. Miles
Lucie Pinson
Luis Hernandez
Luis Pena
Luke Stratford-Higton
Maarten Altena
Maarten Koning
Maciej K. Wasilewicz
Maciej Wasilewicz
Mads Thinggaard
Makarim Salman
Mann Sisa
Manuela Dollinger
Manuela Meroni
Marc A. Thiele
Marc Borkink
Marc Cohen
Marc Debrouwer
Marc Kaufmann
Marc Okun
Marcia Breen
Marcos Holanda
Marcus Barnard
Marcus P. Rivaldi
Marcus Patrick Rivaldi
Marcus Rivaldi
Marcus W. Barnard
Mari Paz Ojeda
Maria Ojeda
Mario C. Mendonca
Mario Mendonca
Mark A. Dwelle
Mark Alan Dwelle
Mark Cathcart
Mark Cohen
Mark David Cathcart
Mark Douglas Hughes
Mark Dwell
Mark Dwelle
Mark Finkelstein
Mark Hancock
Mark Hughes
Mark Ingham
Mark Sadally
Mark Tomlins
Markus Homor
Markus Klausen
Mart van Kuijk
Martin Alsina
Martin Birk
Martin Fahey
Martin Gregers Birk
Martin Leitgeb
María Paz Ojeda
Masao Muraki
Masish Vasilovich
Matija Gergolet
Matt Carletti
Matt Dunger
Matt Heimermann
Matt Ingram
Matt Swaim
Matteo Ghilotti
Mattheo Vasilovich
Matthew Barry
Matthew Berry
Matthew C. Webb
Matthew Carletti
Matthew Dunger
Matthew Heimermann
Matthew J. Carletti
Matthew Palazolo
Matthew Pouncett
Matthias De Wit
Matthias Niklowitz
Matthias de Wit
Matti Ahokas
Matze Wasil
Maud van Gaal
Maura Garbero
Mauro Carli
Max Zormelo
Maxime Dupuis
Maya Nikolaeva
Meny Grauman
Meyer Hills
Michael A. Klien
Michael Broom
Michael Butler
Michael Christelis
Michael David Zaremski
Michael FlÃ¤mig
Michael Haddad
Michael Haid
Michael Hayes
Michael Head
Michael Heap
Michael Hermann Haid
Michael Hieke
Michael Hudder
Michael Hunter
Michael Huttner
Michael Hyde
Michael I. Huttner
Michael Joseph Werner
Michael Klien
Michael Lutz
Michael Nannizzi
Michael Phillips
Michael S. Nannizzi
Michael Van Wegen
Michael W. Phillips
Michael Wayne Phillips
Michael Werner
Michael Zaremski
Michael van Wegen
Michele Ballatore
Michelle Ann Giordano-Valentine
Michelle Ballatore
Mig Dobre
Mika Koskinen
Mike Christelis
Mike Francis
Mike Kovac
Mike Nannizzi
Mike Phillips
Mike Zaremsk
Mike Zaremski
Mikel Abasolo
Mindy Jensen
Ming Chu
Ming Xu
Ming Zhu
Mitchell Todd
Mitsumasa Okamoto
Muriel Breiman
Nadine A. van der Meulen
Nadine Adrienne Marion van der Meulen
Nadine Van Der Meulen
Nadine van der Meulen
Naruhiko Sakamaki
Nasib Ahmed
Natsumu Tsujino
Neel Shah
Neil Welch
Niccolo C. Dalla Palma
Niccolo Cornelis Modesto Dalla-Palma
Niccolo Dalla Palma
Niccolo Dalla-Palma
Niccolò C. Dalla Palma
Niccolò Dalla Palma
Nicholas Bell
Nicholas Harcourt Johnson
Nicholas Herman
Nicholas Holmes
Nicholas Johnson
Nicholas Mezick
Nick Danarjvic
Nick H. Johnson
Nick Holmes
Nick Hormes
Nick Johnson
Nick Pope
Nicolas Mora
Nigel Dally
Nigel Pittaway
Olaf Storbeck
Oliver G. Steel
Oliver George Nigel Steel
Oliver Krisenblair
Oliver Nigel
Oliver Steel
Oliver Steele
Oliver Suess
Oliver Troop
Olivia Brindle
Olivia S. Brindle
Olivia Sylvia Brindle
Omar Fall
Omar Resheq
Paavo Ahonen
Pablo Mayo Cerqueiro
Paco Riquel
Panagiotis Koffas
Paolo Tramantana
Paris Hadjantonis
Paris Hadjilantonis
Patricia Kowsmann
Patrick Hosking
Patrick Lemmens
Patrick Noel
Paul Allen
Paul C. De'Ath
Paul David Holden
Paul De'Ath
Paul De'ath
Paul Diaz
Paul Goodhind
Paul Guess
Paul Holden
Paul Newsome
Paul Walsh
Penelope Fitzherbert
Per Groenborg
Per Gronberg
Per Gronborg
Per GrÃ¸nborg
Per Grønborg
Peter Casanova
Peter D. Eliot
Peter Testa
Peti De Wit
Peti de Wit
Phil Ross
Phil Stefano
Philip Crate
Philip D. Middleton
Philip Kett
Philip Michael Stefano
Philip Ross
Philipp Häßler
Pierre Chedeville
Q – 05RN78-E Jay Gelb
Rafael Villarreal
Rahul A. Parekh
Rahul Parekh
Ralph Hebgen
Ralph Oliver
Randy Binner
Raphael Caruso
Ravi Tanna
Ray Iardella
Ray Iradella
Raymond Iardella
Rene Locher
René Locher
Rhea Shah
Richard Cole
Richard Coles
Risha Singh
Risto Ketola
Rob Bottoms
Rob G. Hauff
Rob Lee
Rob Lelieveld
Rob Murphy
Rob Plant
Robert Alford
Robert Amos Rampton
Robert Farnam
Robert Glasspiegel
Robert Haim
Robert John Rankin
Robert Miller Myers
Robert Murphy
Robert Rampton
Robert Roell
Robert Vreeken
Robin Buckley
Robin Eduard van den Broek
Robin van den Broek
Rodrigo Vasquez
Rodrigo Vazquez
Roger Sachs
Roland Pfaender
Roland Pfander
Roland PfÃ¤nder
Roland Pfänder
Ron Bobman
Ron Heijdenrijk
Ron Heydenrijk
Ronald Bobman
Ronald D. Bobman
Ronald David Bobman
Ross Curran
Ross N. Curran
Rotger Franz
Rowan Williams-Short
Roy Tilley
Ruchi Gupta
Rudi de CÃ¶ning
Rutge Frenz
Ruud Dekkers
Ryan Aceto
Ryan Brynes
Ryan Byrnes
Ryan Clark
Ryan Fisher
Ryan J. Tunis
Ryan James Tunis
Ryan Penton
Ryan Tunis
Rötger Franz
Sachin Gupta
Sachin Lakhani
Sachin Ravi
Sachin Shah
Salen Churi
Samant Singh
Samit Patel
Samuel Casey
Sandeep Bordia
Sarah Dewitt
Sarah E. DeWitt
Sarah Lewandowski
Sarine Barnard
Scott Frost
Scott Heleniak
Scott Redmond
Scott Russell
Sean Barry
Sean Dargan
Sean Reitenbach
Sergie Catrin
Seth Bienstock
Seth J. Canetto
Seth Rosenberg
Seth Weiss
Shawn Berry
Shazad Okigh
Siddarth Parameswaran
Siddharth Parameswaran
Silvia Rigol
Silvia Rigol Carneiro
Simon Christensen
Simon David
Simon Denison-Smith
Simon Fassmeier
Simon Fossmeier
Simon FÃ¶ssmeier
Simon G. Denison-Smith
Srijit Banerjee
Stefan Scharff
Stefan Schuermann
Stefan Schurmann
Stefan SchÃ¼rmann
Stefan Schürmann
Stephane Suchet
Stephen Boland
Stephen Gregory Rigo
Stephen Hayward
Stephie Yu
Steve Labbe
Steve Theriault
Steven A. Haywood
Steven Gavios
Steven Haywood
Steven Roger Labbe
Steven Schwartz
Strategist
Stuart Kaye
Stéphane Suchet
Sudarshan Bhutra
Suneet Kamath
Syed Anil Akbar
T.S. Lim
Taichi Noda
Takanori Miyoshi
Takayuki Yuasaz
Takehito Yamanaka
Tatsuo Majima
Teik L. Goh
Tessad Oki
Thilo Gorlt
Thomas Alford
Thomas Bateman
Thomas Chong
Thomas Eskildsen
Thomas Fossard
Thomas Gallagher
Thomas Jacquet
Thomas M. Dorner
Thomas Mitchell
Thomas Nagtegaal
Thomas Noack
Thomas Seidl
Thomas Svendsen
Thomas Svensson
Thomas Wang
Thomas von Boguslawski
Tim Dawson
Tim Friebertshäuser
Tim Hayes
Tim Lawson
Tim Piechowski
Tinyiko Mabunda
Toby Langley
Toby R. Langley
Tom Dorner
Tom Eckett
Tom Gallagher
Tom M. Dorner
Tom MacKinnon
Tom McGinn
Tom McKennon
Tom Van Kempen
Tomomi Narimatsu
Tony Silverman
Tracy
Trevor D. Moss
Trevor Moss
Tryfonas Spyrou
Tsujino
Ulrik Ardal Zurcher
Ulrik Zurcher
Ulrik Årdal Zürcher
Unidentiﬁed Participant
Vegard Eid Medias
Vegard Toverud
Veleka Lakhani
Vergard Eid Medias
Vicky van Heck
Vikram Gandhi
Vinay Misquith
Vincent D'Agostino
Vincent DeAugustino
Vincent M. DeAugustino
Vinit Malhotra
Vishal Govindram Bhatia
Vittorio Sangiorgio
Wajahat Rizvi
Wakako Sato
Wally Obermeyer
Warwick Bam
Wataru Otsuka
Wayne Cadwallader
Will Allen
Will Elderkin
Will F. Hardcastle
Will Hardcastle
Will Harkers
Will Hawkins
William Elderkin
William Eldican
William F. Hardcastle
William Fraser Hardcastle
William H. Elderkin
William Hardcastle
William Hawkings
William Hawkins
William Kontes
William S. Hawkins
William W. Preston
William Wade
William Wilt
Xavier Craepon
Xavier CrÃ©pon
Xin Mei Wang
Xinmei Wang
Yaron J. Kinar
Yaron Joseph Kinar
Youdish Chicooree
Yusuke Yabumoto
Zack Perry
Zafar Aziz
Zak Smerczak
Zealand and Insurance Analyst
Zealand. And Insurance Analyst
• Jeffrey M. Fenwick
• Paul Holden
• Sachin Shah
