company_paticipants_list
& Ireland General Insurance
(UK) Limted
Silvy Wright
Simon Burke
Simon Gadd
Simon George Thomas
Simon Machell
Simon Pearson
Simon Pistell
Simon Thomas
Siobhan Geraldine Boylan
Solmaz Altin
Sonya Bryson
Specialty Insurance
Spencer Horgan
Spencer Lee Horgan
Staﬀan Hansen
Stefan Heitmann
Stefan Loacker
Steffen Heegaard
Stella Li
Stephane Dedeyan
Stephane Le Mer
Stephane Trarieux
Stephanie Bush
Stephen Gazard
Stephen Lowe
Steve Binioris
Steve Bridger
Steve Gazard
Steve M. Hatch
Steve Markel
Steve Wilson
Steven Georges Leon Braekeveldt
Steven Levin
Steven Maddock
Steﬀen Heegaard
Steﬀen Peter Anker Heegaard
Storebrand
Strategy
Stuart Beamish
Stuart Davies
Stuart James Turner
Stuart Jeffrey Davies
Stuart Michael Howard
Stuart Morgan
Stéphane Le Mer
Susan McInnes
Susan Spivak
Susan Spivak Bernstein
Susanne Tengler
Sven Althoff
Sydney Mbhele
Sylvain Perrier
Symon Drake-Brockman
Séverine Laine
Tadaharu Uehara
Tadashi Handa
Taizou Ishiguro
Takaaki Tamai
Takashi Kurumisawa
Takashi Sato
Takayuki Yuasa
Tatsuru Aoki
Taylor Robinson
Tetsuji Higuchi
Thabane Vincent Maphai
Theresa Froehlich
Thierry Leger
Thomas Allen Bolt
Thomas Behar
Thomas Bohun
Thomas Bradley
Thomas Buberl
Thomas Béhar
Thomas D. Stoddard
Thomas Dawson Stoddard
Thomas Gayner
Thomas Holzheu
Thomas John Diemer
Thomas Kunkel
Thomas M. Kunkel
Thomas Neusiedler
Thomas S. Gayner
Thomas Sinnickson Gayner
Thomas Stoddard
Tidjane Thiam
Tim Breedon
Tim Coulson
Tim Harris
Tim Ryan
Tim Stedman
Tim Tookey
Tim Youmans
Timothy Alan Boroughs
Timothy Boroughs
Timothy Fabrice Ryan
Timothy James William Tookey
Timothy Ryan
Tiziano Ceccarani
Tjeerd Bosklopper
Tobias van der Meer
Toby van de Meer
Toby van der Meer
Todd Adams
Todd Solash
Tokuda Hajime
Tom Bolt
Tom Cross Brown
Tom Gayner
Tom Solomon
Tom Stoddard
Tom de Swaan
Tomas Alfaro
Tony Jackson
Tony Wilkey
Tor Loennum
Tor Lonnum
Tor Magne Lonnum
Tor Magne Lønnum
Torbjoern Magnusson
Torbjorn Magnusson
Torbjörn Magnusson
Torsten Jeworrek
Toshifumi Kitazawa
Tracie Grella
Tracy Benguigui
Tracy Dolin-Benguigui
Treasurer
Trevor Fetter
Trevor Matthews
Trevor Webb
Trond Eriksen
Trond Finn Eriksen
Tryg Forsikring A/S
Tsuyoshi Hattori
Tsuyoshi Nagano
UK & Ireland General Insurance
Ulrich Wallin
Ulrik Andersson
Underwriting Risk Committee
Unidentified Company Representative
Unidentified Participant
Unidentified Speaker
Unidentiﬁed Company Representative
Unidentiﬁed Speaker
Unit
Unverified Participant
Unveriﬁed Participant
V. Prem Watsa
Veerle Verbessem
Vibhu Sharma
Victor Peignet
Victor Yves Peignet
Victoria Hayes
Vincent Armentano
Vincent Damas
Vincent Foucart
Vincent Letac
Vivian Prem Watsa
Volker Steck
Véronique Weill
Wadham Downing
Walter Scott
Warren Buffett
Warren E. Buffett
Warren Edward Buffett
Wendy Houser
Wes Erlam
Whitney Richard Tilson
Whitney Tilson
Wikus Olivier
Wilfred Frederik Nagel
Wilkus Oliver
Willem Horstmann
Willem van den Berg
William C. Wagner
William Green
William H. Heyman
William Herbert Heyman
William L. A. Connelly
William L. Connelly
William Marston Becker
William Nicoll
William R. Babcock
William Spiegel
Wim Hekstra
Wolfgang Hauner
Xavier Larnaudie-Eiffel
Xavier Larnaudie-Eiﬀel
Xavier Veyry
Yaron Kinar
Yasunobu Fukuda
Yasuyoshi Karasawa
Yegs Ramiah
Yoshinari Endo
Yukinori Kuroda
Yuta Tachizako
Yvonne van Rooij
and Chief Executive of M&G
and Executive Officer
and International
and Partnerships
of Enterprise Business Intellige
of Enterprise Business Intelligence & Analytics
of Management Board
of Strategy
of the Everest Insurance Division
of the Management Board
the Everest Insurance Division
the Executive Board
the Management Board of Aegon N.V.
the Reinsurance Division
•
• David Bonham
• Dieter Wemmer
• Evan G. Greenberg
• Helen Wilson
• Oliver Schmidt
• Philip V. Bancroft
• Prem Watsa
• Sean Ringsted
• V. Prem Watsa
• Vivian Prem Watsa
